gameid,inning,half,batting_team,defense_team,player,base,result,balls,strikes,outs
624456,1,top,Southern Maryland Blue Crabs,Charleston Dirty Birds,Jackson Loftin,2,SB,2,0,0
624456,3,top,Southern Maryland Blue Crabs,Charleston Dirty Birds,Jackson Loftin,2,CS,0,1,1
624456,5,top,Southern Maryland Blue Crabs,Charleston Dirty Birds,Jackson Loftin,3,SB,2,2,2
624456,6,top,Southern Maryland Blue Crabs,Charleston Dirty Birds,Sam Dexter,3,CS,1,1,1
624456,6,bottom,Charleston Dirty Birds,Southern Maryland Blue Crabs,Benjamin Blackwell,2,SB,1,1,2
624456,7,bottom,Charleston Dirty Birds,Southern Maryland Blue Crabs,Alan Alonso,2,SB,1,1,2
624457,1,bottom,Charleston Dirty Birds,Southern Maryland Blue Crabs,Alsander Womack,2,SB,1,2,1
624457,1,bottom,Charleston Dirty Birds,Southern Maryland Blue Crabs,Alan Alonso,2,CS,0,2,2
624457,2,top,Southern Maryland Blue Crabs,Charleston Dirty Birds,Giovanni Digiacomo,2,SB,1,2,1
624457,3,top,Southern Maryland Blue Crabs,Charleston Dirty Birds,Jamari Baylor,2,SB,0,1,2
624457,4,bottom,Charleston Dirty Birds,Southern Maryland Blue Crabs,Benjamin Blackwell,2,SB,2,1,3
624515,1,bottom,York Revolution,High Point Rockers,Jeffrey Wehler,2,SB,0,2,3
624517,2,top,Long Island Ducks,York Revolution,JC Encarnacion,2,SB,0,2,2
624517,4,top,Long Island Ducks,York Revolution,JC Encarnacion,2,CS,1,0,1
624517,5,top,Long Island Ducks,York Revolution,River Town,2,SB,3,1,2
624517,6,top,Long Island Ducks,York Revolution,Troy Viola,2,SB,3,2,2
624517,8,top,Long Island Ducks,York Revolution,Troy Viola,2,SB,3,2,2
624518,2,bottom,York Revolution,Long Island Ducks,Bubba Alleyne,2,SB,1,0,2
624518,4,bottom,York Revolution,Long Island Ducks,Jeremy Arocho,2,SB,2,2,2
624518,4,bottom,York Revolution,Long Island Ducks,Jeffrey Wehler,2,SB,0,1,3
624518,5,bottom,York Revolution,Long Island Ducks,Shayne Fontana,2,SB,2,1,1
624518,9,bottom,York Revolution,Long Island Ducks,Jeffrey Wehler,2,SB,3,2,3
624518,11,top,Long Island Ducks,York Revolution,Ed Johnson,2,SB,1,1,2
624519,4,bottom,York Revolution,Lancaster Stormers,Jalen Miller,2,SB,3,2,3
624519,9,bottom,York Revolution,Lancaster Stormers,Shayne Fontana,2,SB,1,2,2
624520,1,bottom,York Revolution,Lancaster Stormers,Jeremy Arocho,2,SB,1,0,0
624520,1,bottom,York Revolution,Lancaster Stormers,Jalen Miller,2,CS,0,1,0
624520,3,bottom,York Revolution,Lancaster Stormers,Jeremy Arocho,2,CS,2,1,1
624520,6,bottom,York Revolution,Lancaster Stormers,Brandon Lewis,2,SB,3,2,0
624520,6,bottom,York Revolution,Lancaster Stormers,Bubba Alleyne,2,CS,0,2,0
624520,6,bottom,York Revolution,Lancaster Stormers,Jaylin Davis,2,SB,0,2,1
624520,7,top,Lancaster Stormers,York Revolution,Yeison Coca,2,SB,1,0,2
